glyph index,character,how it was established
531,姿,anchor: appears in a completely decoded corpus string
532,史,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
533,産,anchor: appears in a completely decoded corpus string
534,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
535,砂,anchor: appears in a completely decoded corpus string
536,魂,anchor: appears in a completely decoded corpus string
537,庫,anchor: appears in a completely decoded corpus string
538,険,anchor: appears in a completely decoded corpus string
539,研,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
540,形,anchor: appears in a completely decoded corpus string
541,君,anchor: appears in a completely decoded corpus string
542,近,anchor: appears in a completely decoded corpus string
543,去,anchor: appears in a completely decoded corpus string
544,究,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
545,貴,anchor: appears in a completely decoded corpus string
546,感,corpus: independent contexts 力を感じる
547,活,anchor: appears in a completely decoded corpus string
548,学,anchor: appears in a completely decoded corpus string
549,応,anchor: appears in a completely decoded corpus string
550,遠,corpus: independent contexts 遠いところ
551,ソ,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
552,ァ,visual reading corrected by script context (12px kana/kanji confusion)
553,M,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
554,労,corpus: independent contexts ご苦労
555,例,anchor: appears in a completely decoded corpus string
556,令,corpus: independent contexts ご命令どおり
557,臨,anchor: appears in a completely decoded corpus string
558,乱,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
559,要,anchor: appears in a completely decoded corpus string
560,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
561,返,anchor: appears in a completely decoded corpus string
562,文,anchor: appears in a completely decoded corpus string
563,表,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
564,底,corpus: independent contexts 底力
565,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
566,頭,anchor: appears in a completely decoded corpus string
567,怒,corpus: independent contexts 神の怒り
568,帰,corpus: independent contexts 帰つてこれなく / 天界に帰り
569,店,anchor: appears in a completely decoded corpus string
570,追,anchor: appears in a completely decoded corpus string
571,段,anchor: appears in a completely decoded corpus string
572,鍛,anchor: appears in a completely decoded corpus string
573,退,corpus: independent contexts 退治 / モンスター退治
574,像,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
575,送,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
576,走,anchor: appears in a completely decoded corpus string
577,専,corpus: independent contexts 国王専用飛行船
578,常,anchor: appears in a completely decoded corpus string
579,賞,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
580,傷,anchor: appears in a completely decoded corpus string
581,女,anchor: appears in a completely decoded corpus string
582,初,anchor: appears in a completely decoded corpus string
583,宿,anchor: appears in a completely decoded corpus string
584,獣,corpus: independent contexts 召喚獣
585,示,corpus: independent contexts 示すもの
586,糸,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
587,指,anchor: appears in a completely decoded corpus string
588,罪,anchor: appears in a completely decoded corpus string
589,幸,anchor: appears in a completely decoded corpus string
590,元,anchor: appears in a completely decoded corpus string
591,験,anchor: appears in a completely decoded corpus string
592,血,anchor: appears in a completely decoded corpus string
593,結,anchor: appears in a completely decoded corpus string
594,係,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
595,認,corpus: independent contexts 認めし者
596,器,anchor: appears in a completely decoded corpus string
597,眼,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
598,角,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
599,街,corpus: independent contexts 街の中 / 街を作り
600,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
601,画,anchor: appears in a completely decoded corpus string
602,過,anchor: appears in a completely decoded corpus string
603,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
604,愛,anchor: appears in a completely decoded corpus string
605,A,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
606,和,corpus: independent contexts 調和のとれた国
607,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
608,冷,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
609,涙,anchor: appears in a completely decoded corpus string
610,連,corpus: independent contexts 連れずついて来て
611,利,anchor: appears in a completely decoded corpus string
612,遊,corpus: independent contexts 子供の遊び場 / もて遊び
613,言,corpus: independent contexts 何言つてんだ
614,面,anchor: appears in a completely decoded corpus string
615,謀,anchor: appears in a completely decoded corpus string
616,暴,anchor: appears in a completely decoded corpus string
617,放,anchor: appears in a completely decoded corpus string
618,崩,anchor: appears in a completely decoded corpus string
619,捕,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
620,標,corpus: independent contexts 道標（みちしるべ）
621,匠,corpus: independent contexts 師匠
622,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
623,突,corpus: independent contexts 突き進む / 強行突破
624,特,anchor: appears in a completely decoded corpus string
625,東,anchor: appears in a completely decoded corpus string
626,都,anchor: appears in a completely decoded corpus string
627,団,anchor: appears in a completely decoded corpus string
628,損,anchor: appears in a completely decoded corpus string
629,足,anchor: appears in a completely decoded corpus string
630,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
631,昔,anchor: appears in a completely decoded corpus string
632,成,anchor: appears in a completely decoded corpus string
633,真,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
634,深,corpus: independent contexts 地下深く
635,嬢,anchor: appears in a completely decoded corpus string
636,緒,anchor: appears in a completely decoded corpus string
637,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
638,謝,corpus: independent contexts 感謝しなくちゃ
639,社,anchor: appears in a completely decoded corpus string
640,耳,anchor: appears in a completely decoded corpus string
641,獅,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
642,止,anchor: appears in a completely decoded corpus string
643,在,anchor: appears in a completely decoded corpus string
644,建,corpus: independent contexts 建物
645,警,corpus: independent contexts 警告
646,計,anchor: appears in a completely decoded corpus string
647,継,anchor: appears in a completely decoded corpus string
648,使,corpus: independent contexts 動力石を使つて
649,機,anchor: appears in a completely decoded corpus string
650,牙,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
651,位,anchor: appears in a completely decoded corpus string
652,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
653,暗,anchor: appears in a completely decoded corpus string
654,オ,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
655,ぷ,visual reading corrected by script context (12px kana/kanji confusion)
656,い,corpus: independent contexts やさしいのう / そうかい / 来たんかい
657,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
658,理,corpus: independent contexts 理解を得る
659,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
660,訳,anchor: appears in a completely decoded corpus string
661,爺,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
662,毎,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
663,歩,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
664,平,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
665,富,anchor: appears in a completely decoded corpus string
666,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
667,燃,anchor: appears in a completely decoded corpus string
668,任,anchor: appears in a completely decoded corpus string
669,難,anchor: appears in a completely decoded corpus string
670,届,corpus: independent contexts 手紙が届く
671,働,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
672,土,anchor: appears in a completely decoded corpus string
673,負,corpus: independent contexts お主達に負けてみよう
674,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
675,築,anchor: appears in a completely decoded corpus string
676,置,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
677,嘆,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
678,替,anchor: appears in a completely decoded corpus string
679,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
680,存,anchor: appears in a completely decoded corpus string
681,賊,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
682,掃,anchor: appears in a completely decoded corpus string
683,捜,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
684,層,corpus: independent contexts 階層が深い
685,素,visual reading corrected by script context (12px kana/kanji confusion)
686,絶,corpus: independent contexts 絶望 / 絶対
687,設,anchor: appears in a completely decoded corpus string
688,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
689,数,anchor: appears in a completely decoded corpus string
690,申,corpus: independent contexts アークと申したな / 申し訳が立たない
691,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
692,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
693,盾,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
694,従,anchor: appears in a completely decoded corpus string
695,首,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
696,借,anchor: appears in a completely decoded corpus string
697,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
698,執,corpus: independent contexts 執着した心
699,察,anchor: appears in a completely decoded corpus string
700,済,anchor: appears in a completely decoded corpus string
701,採,corpus: independent contexts 採掘場 / 採掘
702,混,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
703,頃,anchor: appears in a completely decoded corpus string
704,刻,anchor: appears in a completely decoded corpus string
705,皇,anchor: appears in a completely decoded corpus string
706,好,anchor: appears in a completely decoded corpus string
707,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
708,源,anchor: appears in a completely decoded corpus string
709,原,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
710,権,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
711,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
712,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
713,玉,anchor: appears in a completely decoded corpus string
714,及,anchor: appears in a completely decoded corpus string
715,休,anchor: appears in a completely decoded corpus string
716,丘,anchor: appears in a completely decoded corpus string
717,逆,anchor: appears in a completely decoded corpus string
718,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
719,希,anchor: appears in a completely decoded corpus string
720,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
721,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
722,怪,corpus: independent contexts 怪しいと思う / 何か怪しい
723,音,anchor: appears in a completely decoded corpus string
724,憶,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
725,営,anchor: appears in a completely decoded corpus string
726,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
727,異,anchor: appears in a completely decoded corpus string
728,以,anchor: appears in a completely decoded corpus string
729,ホ,corpus: independent contexts ホント助かつた
730,ツ,anchor: appears in a completely decoded corpus string
731,ゾ,corpus: independent contexts ゾンビ
732,R,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
733,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
734,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
735,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
736,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
737,妖,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
738,優,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
739,木,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
740,万,anchor: appears in a completely decoded corpus string
741,北,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
742,冒,anchor: appears in a completely decoded corpus string
743,棒,anchor: appears in a completely decoded corpus string
744,豊,anchor: appears in a completely decoded corpus string
745,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
746,腹,corpus: independent contexts 腹が出た将軍
747,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
748,怖,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
749,氷,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
750,欲,corpus: independent contexts 欲しさゆえ
751,半,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
752,倍,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
753,馬,corpus: independent contexts じゃじゃ馬娘
754,二,anchor: appears in a completely decoded corpus string
755,洞,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
756,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
757,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
758,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
759,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
760,虫,anchor: appears in a completely decoded corpus string
761,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
762,単,anchor: appears in a completely decoded corpus string
763,脱,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
764,状,corpus: independent contexts 状態の続いている
765,打,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
766,孫,anchor: appears in a completely decoded corpus string
767,つ,corpus: independent contexts あと一つ
768,装,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
769,想,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
770,組,anchor: appears in a completely decoded corpus string
771,祖,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
772,泉,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
773,責,corpus: independent contexts 責任をもちません
774,静,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
775,西,anchor: appears in a completely decoded corpus string
776,遂,anchor: appears in a completely decoded corpus string
777,吹,anchor: appears in a completely decoded corpus string
778,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
779,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
780,詳,anchor: appears in a completely decoded corpus string
781,沼,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
782,除,corpus: independent contexts 大掃除
783,処,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
784,樹,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
785,授,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
786,識,corpus: independent contexts 意識を取り戻した
787,芽,corpus: independent contexts 芽が立たず
788,志,corpus: independent contexts 意志
789,仕,anchor: appears in a completely decoded corpus string
790,索,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
791,細,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
792,査,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
793,婚,corpus: independent contexts 結婚させられる
794,困,anchor: appears in a completely decoded corpus string
795,豪,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
796,広,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
797,工,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
798,誤,anchor: appears in a completely decoded corpus string
799,厳,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
800,刑,anchor: appears in a completely decoded corpus string
801,窟,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
802,区,anchor: appears in a completely decoded corpus string
803,金,anchor: appears in a completely decoded corpus string
804,業,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
805,居,anchor: appears in a completely decoded corpus string
806,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
807,喜,anchor: appears in a completely decoded corpus string
808,簡,anchor: appears in a completely decoded corpus string
809,貝,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
810,械,corpus: independent contexts 機械を動かす
811,戒,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
812,価,corpus: independent contexts 価値もない
813,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
814,栄,corpus: independent contexts 文明を築き栄える
815,映,anchor: appears in a completely decoded corpus string
816,敵,corpus: independent contexts 敵のスメリアの戦士
817,嘘,anchor: appears in a completely decoded corpus string
818,飲,anchor: appears in a completely decoded corpus string
819,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
820,囲,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
821,扱,anchor: appears in a completely decoded corpus string
822,ェ,visual reading corrected by script context (12px kana/kanji confusion)
823,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
824,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
825,L,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
826,・,anchor: appears in a completely decoded corpus string
827,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
828,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
829,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
830,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
831,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
832,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
833,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
834,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
835,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
836,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
837,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
838,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
839,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
840,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
841,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
842,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
843,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
844,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
845,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
846,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
847,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
848,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
849,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
850,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
851,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
852,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
853,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
854,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
855,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
856,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
857,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
858,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
859,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
860,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
861,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
862,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
863,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
864,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
865,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
866,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
867,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
868,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
869,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
870,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
871,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
872,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
873,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
874,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
875,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
876,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
877,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
878,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
879,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
880,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
881,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
882,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
883,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
884,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
885,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
886,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
887,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
888,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
889,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
890,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
891,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
892,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
893,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
894,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
895,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
896,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
897,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
898,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
899,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
900,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
901,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
902,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
903,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
904,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
905,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
906,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
907,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
908,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
909,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
910,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
911,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
912,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
913,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
914,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
915,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
916,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
917,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
918,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
919,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
920,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
921,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
922,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
923,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
924,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
925,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
926,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
927,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
928,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
929,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
930,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
931,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
932,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
933,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
934,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
935,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
936,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
937,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
938,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
939,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
940,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
941,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
942,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
943,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
944,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
945,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
946,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
947,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
